iter	Passed	Remaining
0	53	53777
1	59	29686
2	65	21646
3	72	18056
4	78	15674
5	84	14077
6	92	13147
7	99	12321
8	106	11682
9	114	11292
10	120	10819
11	127	10490
12	134	10199
13	142	10041
14	149	9790
15	154	9520
16	160	9276
17	165	9048
18	170	8806
19	174	8543
20	178	8299
21	181	8046
22	184	7818
23	188	7679
24	192	7495
25	195	7310
26	198	7161
27	201	6986
28	204	6833
29	206	6671
30	208	6511
31	210	6352
32	211	6203
33	213	6058
34	214	5927
35	216	5810
36	219	5700
37	220	5589
38	222	5483
39	223	5373
40	225	5273
41	226	5175
42	228	5094
43	231	5040
44	234	4971
45	236	4903
46	238	4831
47	239	4759
48	241	4686
49	243	4620
50	244	4554
51	246	4495
52	249	4449
53	251	4401
54	253	4352
55	256	4319
56	258	4273
57	261	4241
58	264	4214
59	267	4186
60	270	4156
61	272	4119
62	274	4080
63	276	4044
64	279	4027
65	282	4004
66	285	3982
67	288	3953
68	292	3948
69	296	3933
70	299	3914
71	301	3887
72	303	3857
73	305	3829
74	308	3802
75	310	3779
76	314	3767
77	317	3747
78	319	3725
79	321	3699
80	324	3678
81	327	3669
82	330	3647
83	332	3628
84	334	3605
85	336	3575
86	338	3547
87	339	3519
88	341	3491
89	342	3466
90	344	3442
91	346	3415
92	347	3389
93	348	3362
94	350	3335
95	351	3310
96	352	3285
97	354	3263
98	356	3241
99	357	3219
100	359	3201
101	361	3182
102	362	3159
103	364	3137
104	365	3115
105	366	3093
106	368	3072
107	369	3052
108	371	3033
109	372	3015
110	374	2997
111	376	2982
112	377	2965
113	379	2945
114	380	2927
115	381	2908
116	383	2890
117	384	2873
118	385	2856
119	387	2841
120	389	2825
121	390	2811
122	392	2799
123	394	2784
124	395	2768
125	396	2752
126	398	2736
127	399	2721
128	400	2706
129	402	2692
130	403	2678
131	405	2663
132	406	2648
133	408	2637
134	409	2626
135	411	2614
136	413	2601
137	414	2591
138	416	2578
139	417	2564
140	418	2551
141	420	2539
142	421	2527
143	423	2517
144	425	2507
145	426	2496
146	429	2493
147	431	2481
148	432	2469
149	433	2454
150	434	2443
151	436	2433
152	437	2423
153	439	2413
154	441	2406
155	442	2396
156	444	2385
157	445	2374
158	446	2363
159	448	2352
160	449	2342
161	451	2334
162	452	2324
163	454	2316
164	457	2313
165	458	2305
166	460	2295
167	461	2285
168	462	2276
169	464	2266
170	465	2256
171	466	2247
172	468	2239
173	470	2231
174	471	2223
175	473	2216
176	475	2208
177	477	2203
178	478	2194
179	479	2185
180	481	2176
181	482	2167
182	483	2160
183	485	2153
184	487	2145
185	489	2140
186	491	2134
187	492	2127
188	493	2119
189	495	2111
190	496	2103
